date,count,count_gay,count_straight,count_aroace,count_polysexual
2020-01-30,17,16,0,17,6
2020-01-29,16,8,6,16,1
2020-01-28,18,13,4,18,3
2020-01-27,33,22,6,33,5
2020-01-26,32,19,8,32,4
2020-01-25,25,21,2,25,0
2020-01-24,18,12,2,18,0
2020-01-23,12,7,4,12,1
2020-01-22,13,10,4,13,3
2020-01-21,34,27,10,34,1
2020-01-20,24,11,4,24,1
2020-01-19,19,18,3,19,1
2020-01-18,22,19,2,22,0
2020-01-17,21,15,4,21,2
2020-01-16,6,4,2,6,0
2020-01-15,19,15,3,19,1
2020-01-14,11,8,0,11,0
2020-01-13,21,11,8,21,3
2020-01-12,19,10,4,19,1
2020-01-11,24,19,3,24,1
2020-01-10,28,16,7,28,0
2020-01-09,28,20,4,28,1
2020-01-08,16,13,5,16,4
2020-01-07,25,17,11,25,4
2020-01-06,26,16,5,26,0
2020-01-05,42,32,9,42,4
2020-01-04,25,13,4,25,5
2020-01-03,14,9,3,14,0
2020-01-02,20,14,5,20,1
2020-01-01,41,33,5,41,1
2019-12-31,24,18,4,24,4
2019-12-30,19,13,5,19,0
2019-12-29,18,7,1,18,2
2019-12-28,21,19,2,21,4
2019-12-27,23,12,6,23,0
2019-12-26,21,17,5,21,3
2019-12-25,23,13,4,23,3
2019-12-24,19,7,5,19,0
2019-12-23,28,23,3,28,3
2019-12-22,22,14,3,22,5
2019-12-21,27,21,3,27,2
2019-12-20,25,19,0,25,1
2019-12-19,18,11,1,18,1
2019-12-18,14,8,1,14,1
2019-12-17,20,14,3,20,7
2019-12-16,30,26,1,30,0
2019-12-15,21,9,3,21,0
2019-12-14,11,9,3,11,2
2019-12-13,22,14,3,22,3
2019-12-12,14,6,4,14,1
2019-12-11,19,16,8,19,0
2019-12-10,20,16,4,20,0
2019-12-09,22,13,2,22,4
2019-12-08,17,15,3,17,0
2019-12-07,11,4,2,11,0
2019-12-06,18,13,5,18,1
2019-12-05,24,17,6,24,4
2019-12-04,21,19,3,21,2
2019-12-03,26,21,6,26,1
2019-12-02,23,16,2,23,2
2019-12-01,22,19,8,22,2
2019-11-30,21,13,6,21,3
2019-11-29,21,14,5,21,1
2019-11-28,26,18,3,26,2
2019-11-27,23,20,8,23,7
2019-11-26,19,12,4,19,3
2019-11-25,19,17,0,19,0
2019-11-24,33,17,6,33,4
2019-11-23,27,18,0,27,3
2019-11-22,30,23,6,30,4
2019-11-21,13,9,1,13,2
2019-11-20,4,3,0,4,1
2019-11-19,21,12,6,21,1
2019-11-18,23,14,2,23,2
2019-11-17,14,12,6,14,1
2019-11-16,25,19,0,25,0
2019-11-15,18,11,7,18,2
2019-11-14,17,13,3,17,1
2019-11-13,14,7,5,14,2
2019-11-12,23,16,7,23,3
2019-11-11,29,19,5,29,0
2019-11-10,15,9,5,15,0
2019-11-09,24,18,5,24,1
2019-11-08,18,13,1,18,3
2019-11-07,33,19,9,33,2
2019-11-06,19,10,6,19,1
2019-11-05,8,7,3,8,2
2019-11-04,20,12,5,20,2
2019-11-03,33,19,3,33,1
2019-11-02,20,12,6,20,2
2019-11-01,18,13,9,18,2
2019-10-31,26,19,4,26,2
2019-10-30,12,7,2,12,0
2019-10-29,13,2,2,13,6
2019-10-28,11,8,3,11,1
2019-10-27,32,31,2,32,4
2019-10-26,43,24,10,43,1
2019-10-25,42,26,4,42,1
2019-10-24,35,22,5,35,2
2019-10-23,18,14,3,18,3
2019-10-22,33,12,11,33,1
2019-10-21,28,12,10,28,3
2019-10-20,47,26,9,47,7
2019-10-19,17,6,6,17,1
2019-10-18,3,1,0,3,0
2019-10-17,16,11,6,16,0
2019-10-16,16,11,0,16,3
2019-10-15,12,7,0,12,2
2019-10-14,13,5,3,13,1
2019-10-13,19,5,0,19,0
2019-10-12,22,12,2,22,2
2019-10-11,9,7,2,9,1
2019-10-10,8,4,3,8,0
2019-10-09,13,9,7,13,1
2019-10-08,15,6,5,15,2
2019-10-07,15,8,2,15,1
2019-10-06,16,11,0,16,1
2019-10-05,16,10,12,16,1
2019-10-04,8,5,1,8,1
2019-10-03,14,5,5,14,0
2019-10-02,22,12,5,22,1
