date,count,count_gay,count_straight,count_aroace,count_polysexual
2020-03-04,32,26,19,2,32
2020-03-03,44,41,16,6,44
2020-03-02,41,39,14,0,41
2020-03-01,57,52,19,1,57
2020-02-29,43,36,23,1,43
2020-02-28,47,39,22,2,47
2020-02-27,30,26,6,0,30
2020-02-26,39,31,16,4,39
2020-02-25,30,25,6,4,30
2020-02-24,50,40,14,0,50
2020-02-23,41,38,18,0,41
2020-02-22,43,35,14,1,43
2020-02-21,32,30,12,3,32
2020-02-20,39,34,16,3,39
2020-02-19,38,37,9,6,38
2020-02-18,50,45,16,4,50
2020-02-17,39,33,10,3,39
2020-02-16,44,39,15,5,44
2020-02-15,42,36,13,1,42
2020-02-14,39,35,14,3,39
2020-02-13,39,36,17,2,39
2020-02-12,39,38,9,1,39
2020-02-11,32,27,10,5,32
2020-02-10,38,37,14,1,38
2020-02-09,59,50,19,2,59
2020-02-08,23,19,8,0,23
2020-02-07,29,22,15,2,29
2020-02-06,36,34,14,3,36
2020-02-05,30,25,10,4,30
2020-02-04,36,30,21,2,36
2020-02-03,45,38,18,0,45
2020-02-02,38,35,19,2,38
2020-02-01,31,28,15,1,31
2020-01-31,35,31,16,1,35
2020-01-30,36,32,11,8,36
2020-01-29,29,25,9,1,29
2020-01-28,28,26,8,2,28
2020-01-27,50,47,12,3,50
2020-01-26,51,45,23,8,51
2020-01-25,34,30,15,0,34
2020-01-24,34,24,14,0,34
2020-01-23,27,22,9,1,27
2020-01-22,35,33,12,8,35
2020-01-21,57,46,22,3,57
2020-01-20,41,35,14,1,41
2020-01-19,37,30,11,1,37
2020-01-18,28,23,7,0,28
2020-01-17,40,37,19,3,40
2020-01-16,33,23,9,0,33
2020-01-15,28,21,7,1,28
2020-01-14,31,28,12,0,31
2020-01-13,47,43,13,5,47
2020-01-12,30,25,14,2,30
2020-01-11,36,29,20,1,36
2020-01-10,41,35,12,0,41
2020-01-09,33,27,9,1,33
2020-01-08,37,34,14,6,37
2020-01-07,41,37,17,3,41
2020-01-06,51,46,15,0,51
2020-01-05,58,47,18,4,58
2020-01-04,78,74,29,2,78
2020-01-03,45,38,18,0,45
2020-01-02,52,41,14,1,52
2020-01-01,41,39,14,1,41
2019-12-31,51,38,17,5,51
2019-12-30,58,45,17,0,58
2019-12-29,48,41,17,4,48
2019-12-28,51,44,19,4,51
2019-12-27,30,27,5,0,30
2019-12-26,30,28,10,1,30
2019-12-25,34,30,7,3,34
2019-12-24,38,32,7,0,38
2019-12-23,43,37,11,3,43
2019-12-22,56,49,27,5,56
2019-12-21,31,28,12,2,31
2019-12-20,24,23,10,2,24
2019-12-19,27,24,5,1,27
2019-12-18,39,34,14,1,39
2019-12-17,47,36,14,7,47
2019-12-16,41,33,16,0,41
2019-12-15,38,32,14,0,38
2019-12-14,26,22,8,1,26
2019-12-13,26,23,6,2,26
2019-12-12,40,36,10,7,40
2019-12-11,39,27,14,0,39
2019-12-10,41,33,17,0,41
2019-12-09,36,32,10,3,36
2019-12-08,50,45,20,0,50
2019-12-07,50,43,20,0,50
2019-12-06,33,25,17,1,33
2019-12-05,33,31,11,3,33
2019-12-04,42,41,22,2,42
2019-12-03,42,34,11,1,42
2019-12-02,36,31,17,2,36
2019-12-01,46,39,21,3,46
2019-11-30,41,38,14,2,41
2019-11-29,21,18,8,1,21
2019-11-28,44,39,16,4,44
2019-11-27,43,40,17,4,43
2019-11-26,30,21,14,3,30
2019-11-25,48,43,14,0,48
2019-11-24,47,45,14,5,47
2019-11-23,40,38,13,4,40
2019-11-22,33,32,15,6,33
2019-11-21,25,20,7,2,25
2019-11-20,31,29,12,1,31
2019-11-19,38,32,18,1,38
2019-11-18,36,31,14,4,36
2019-11-17,39,33,16,3,39
2019-11-16,21,17,7,0,21
2019-11-15,32,28,9,2,32
2019-11-14,25,24,8,1,25
2019-11-13,36,27,17,2,36
2019-11-12,28,27,12,1,28
2019-11-11,38,38,11,0,38
2019-11-10,34,27,11,0,34
2019-11-09,42,39,24,1,42
2019-11-08,22,21,8,2,22
2019-11-07,23,21,5,2,23
2019-11-06,35,31,11,1,35
2019-11-05,28,24,9,2,28
2019-11-04,36,36,6,2,36
2019-11-03,42,38,15,1,42
2019-11-02,35,31,11,2,35
2019-11-01,54,47,18,2,54
2019-10-31,27,24,16,1,27
2019-10-30,48,42,21,0,48
2019-10-29,38,36,3,1,38
