date,tag,count,count_gay,count_straight,count_aroace,count_polysexual
2019-12-04,bisexual,41,40,21,2,41
2019-12-03,bisexual,42,34,11,1,42
2019-12-02,bisexual,34,30,16,2,34
2019-12-01,bisexual,43,37,20,3,43
2019-11-30,bisexual,40,37,14,2,40
2019-11-29,bisexual,21,18,8,1,21
2019-11-28,bisexual,41,36,15,4,41
2019-11-27,bisexual,42,39,17,4,42
2019-11-26,bisexual,29,21,13,2,29
2019-11-25,bisexual,48,43,14,0,48
2019-11-24,bisexual,47,45,14,5,47
2019-11-23,bisexual,38,37,12,3,38
2019-11-22,bisexual,32,31,15,5,32
2019-11-21,bisexual,24,20,7,2,24
2019-11-20,bisexual,29,28,10,1,29
2019-11-19,bisexual,38,32,18,1,38
2019-11-18,bisexual,35,30,14,4,35
2019-11-17,bisexual,37,31,16,2,37
2019-11-16,bisexual,21,17,7,0,21
2019-11-15,bisexual,31,28,8,2,31
2019-11-14,bisexual,24,24,7,1,24
2019-11-13,bisexual,32,27,15,1,32
2019-11-12,bisexual,27,26,11,0,27
2019-11-11,bisexual,37,37,11,0,37
2019-11-10,bisexual,33,26,10,0,33
2019-11-09,bisexual,42,39,24,1,42
2019-11-08,bisexual,21,20,8,1,21
2019-11-07,bisexual,22,21,4,1,22
2019-11-06,bisexual,33,29,10,1,33
2019-11-05,bisexual,28,24,9,2,28
2019-11-04,bisexual,35,35,6,2,35
2019-11-03,bisexual,40,36,13,1,40
2019-11-02,bisexual,34,30,11,2,34
2019-11-01,bisexual,53,46,17,2,53
2019-10-31,bisexual,27,24,16,1,27
2019-10-30,bisexual,44,38,19,0,44
2019-10-29,bisexual,38,36,3,1,38
2019-10-28,bisexual,58,52,26,2,58
2019-10-27,bisexual,45,36,18,2,45
2019-10-26,bisexual,24,22,10,1,24
2019-10-25,bisexual,31,25,11,1,31
2019-10-24,bisexual,40,35,12,2,40
2019-10-23,bisexual,35,29,10,3,35
2019-10-22,bisexual,41,35,17,2,41
2019-10-21,bisexual,40,30,14,3,40
2019-10-20,bisexual,36,36,14,5,36
2019-10-19,bisexual,41,39,17,1,41
2019-10-18,bisexual,27,26,12,0,27
2019-10-17,bisexual,39,35,11,0,39
2019-10-16,bisexual,20,18,3,2,20
2019-10-15,bisexual,29,25,12,2,29
2019-10-14,bisexual,49,43,23,1,49
2019-10-13,bisexual,33,29,11,0,33
2019-10-12,bisexual,35,33,17,1,35
2019-10-11,bisexual,30,30,12,2,30
2019-10-10,bisexual,27,25,14,0,27
2019-10-09,bisexual,30,24,16,1,30
2019-10-08,bisexual,37,31,8,2,37
2019-10-07,bisexual,40,35,14,1,40
2019-10-06,bisexual,43,37,23,1,43
2019-10-05,bisexual,42,34,16,2,42
2019-10-04,bisexual,32,29,8,2,32
2019-10-03,bisexual,36,33,11,0,36
2019-10-02,bisexual,45,36,19,1,45
2019-10-01,bisexual,55,50,22,0,55
2019-09-30,bisexual,27,25,10,0,27
2019-09-29,bisexual,49,39,21,6,49
2019-09-28,bisexual,31,28,8,5,31
2019-09-27,bisexual,59,58,28,2,59
2019-09-26,bisexual,24,22,13,1,24
2019-09-25,bisexual,44,40,22,1,44
2019-09-24,bisexual,39,30,6,3,39
2019-09-23,bisexual,42,38,16,4,42
2019-09-22,bisexual,36,32,10,1,36
2019-09-21,bisexual,43,35,16,1,43
2019-09-20,bisexual,28,22,10,2,28
2019-09-19,bisexual,27,22,12,1,27
2019-09-18,bisexual,25,19,9,1,25
2019-09-17,bisexual,42,38,20,3,42
2019-09-16,bisexual,44,39,22,6,44
2019-09-15,bisexual,46,42,18,4,46
2019-09-14,bisexual,33,28,14,2,33
2019-09-13,bisexual,37,31,9,3,37
2019-09-12,bisexual,26,23,6,0,26
2019-09-11,bisexual,27,26,7,5,27
2019-09-10,bisexual,29,26,14,0,29
2019-09-09,bisexual,40,36,11,1,40
2019-09-08,bisexual,54,43,24,2,54
2019-09-07,bisexual,39,36,15,1,39
2019-09-06,bisexual,27,24,6,0,27
2019-09-05,bisexual,27,23,9,0,27
2019-09-04,bisexual,33,29,8,2,33
2019-09-03,bisexual,39,37,14,1,39
2019-09-02,bisexual,44,36,12,1,44
2019-09-01,bisexual,51,46,20,3,51
2019-08-31,bisexual,29,23,12,3,29
2019-08-30,bisexual,46,38,9,1,46
2019-08-29,bisexual,36,23,17,2,36
2019-08-28,bisexual,40,37,13,1,40
2019-08-27,bisexual,33,27,6,4,33
2019-08-26,bisexual,32,26,16,2,32
2019-08-25,bisexual,41,36,9,2,41
2019-08-24,bisexual,30,26,3,1,30
2019-08-23,bisexual,35,29,12,0,35
2019-08-22,bisexual,32,27,7,7,32
2019-08-21,bisexual,31,25,10,1,31
2019-08-20,bisexual,44,39,21,7,44
2019-08-19,bisexual,30,27,8,1,30
2019-08-18,bisexual,33,29,13,2,33
2019-08-17,bisexual,35,32,7,0,35
2019-08-16,bisexual,42,37,8,4,42
2019-08-15,bisexual,23,21,13,1,23
2019-08-14,bisexual,42,38,12,0,42
2019-08-13,bisexual,33,25,19,0,33
2019-08-12,bisexual,44,39,16,2,44
2019-08-11,bisexual,48,43,27,1,48
2019-08-10,bisexual,39,35,15,3,39
2019-08-09,bisexual,35,32,12,0,35
2019-08-08,bisexual,28,19,8,4,28
2019-08-07,bisexual,46,40,18,1,46
2019-08-06,bisexual,37,36,16,0,37
2019-08-05,bisexual,49,41,20,2,49
2019-08-04,bisexual,44,42,11,1,44
2019-08-03,bisexual,28,26,3,3,28
2019-08-02,bisexual,43,38,11,2,43
2019-08-01,bisexual,47,41,13,5,47
2019-07-31,bisexual,49,42,19,2,49
2019-07-30,bisexual,27,23,6,4,27
2019-07-29,bisexual,47,41,19,2,47
2019-07-28,bisexual,37,32,8,1,37
2019-07-27,bisexual,35,30,9,4,35
2019-07-26,bisexual,43,38,23,4,43
2019-07-25,bisexual,32,31,10,1,32
2019-07-24,bisexual,42,31,17,1,42
2019-07-23,bisexual,40,38,13,2,40
2019-07-22,bisexual,54,49,14,1,54
2019-07-21,bisexual,42,37,16,1,42
2019-07-20,bisexual,34,27,14,2,34
2019-07-19,bisexual,33,32,12,2,33
2019-07-18,bisexual,27,22,14,0,27
2019-07-17,bisexual,33,27,9,2,33
2019-07-16,bisexual,45,39,16,4,45
2019-07-15,bisexual,46,43,10,3,46
2019-07-14,bisexual,44,36,10,7,44
2019-07-13,bisexual,37,32,16,6,37
2019-07-12,bisexual,25,21,6,1,25
2019-07-11,bisexual,39,34,11,1,39
2019-07-10,bisexual,41,34,13,2,41
2019-07-09,bisexual,53,45,8,5,53
2019-07-08,bisexual,50,47,25,2,50
2019-07-07,bisexual,37,28,13,4,37
2019-07-06,bisexual,46,40,19,4,46
2019-07-05,bisexual,38,34,14,2,38
2019-07-04,bisexual,27,24,10,0,27
2019-07-03,bisexual,35,31,16,2,35
2019-07-02,bisexual,31,27,14,7,31
2019-07-01,bisexual,63,56,25,3,63
2019-06-30,bisexual,43,35,15,2,43
2019-06-29,bisexual,41,38,12,5,41
2019-06-28,bisexual,30,25,11,3,30
2019-06-27,bisexual,29,24,13,2,29
2019-06-26,bisexual,40,34,11,0,40
2019-06-25,bisexual,33,28,10,1,33
2019-06-24,bisexual,49,44,15,1,49
2019-06-23,bisexual,53,49,22,10,53
2019-06-22,bisexual,36,35,8,3,36
2019-06-21,bisexual,52,46,20,1,52
2019-06-20,bisexual,52,38,21,2,52
2019-06-19,bisexual,29,22,6,1,29
2019-06-18,bisexual,32,29,10,2,32
2019-06-17,bisexual,36,33,5,1,36
2019-06-16,bisexual,49,45,27,0,49
2019-06-15,bisexual,33,30,13,4,33
2019-06-14,bisexual,29,21,12,0,29
2019-06-13,bisexual,39,33,17,0,39
2019-06-12,bisexual,20,17,6,0,20
2019-06-11,bisexual,43,37,10,2,43
2019-06-10,bisexual,38,36,16,0,38
2019-06-09,bisexual,57,49,28,7,57
2019-06-08,bisexual,39,36,7,3,39
2019-06-07,bisexual,61,50,16,7,61
2019-06-06,bisexual,47,38,12,3,47
