date,tag,count,count_gay,count_straight,count_aroace,count_polysexual
2020-06-20,aromantic,5,1,1,5,0
2020-06-19,aromantic,7,5,2,7,1
2020-06-18,aromantic,6,3,3,6,1
2020-06-17,aromantic,12,5,1,12,0
2020-06-16,aromantic,11,7,1,11,0
2020-06-15,aromantic,4,0,0,4,0
2020-06-14,aromantic,2,0,0,2,1
2020-06-13,aromantic,3,2,0,3,0
2020-06-12,aromantic,5,1,1,5,0
2020-06-11,aromantic,3,0,0,3,0
2020-06-10,aromantic,6,1,0,6,0
2020-06-09,aromantic,4,3,0,4,1
2020-06-08,aromantic,7,3,0,7,0
2020-06-07,aromantic,7,3,2,7,2
2020-06-06,aromantic,6,3,0,6,0
2020-06-05,aromantic,4,1,0,4,0
2020-06-04,aromantic,2,2,0,2,2
2020-06-03,aromantic,10,4,2,10,1
2020-06-02,aromantic,6,1,3,6,5
2020-06-01,aromantic,8,4,4,8,3
2020-05-31,aromantic,2,2,1,2,2
2020-05-30,aromantic,1,0,0,1,0
2020-05-29,aromantic,6,3,2,6,1
2020-05-28,aromantic,4,1,0,4,0
2020-05-27,aromantic,5,4,1,5,1
2020-05-26,aromantic,5,2,0,5,2
2020-05-25,aromantic,6,5,2,6,1
2020-05-24,aromantic,5,2,1,5,0
2020-05-23,aromantic,4,3,1,4,1
2020-05-22,aromantic,1,0,0,1,0
2020-05-20,aromantic,4,3,1,4,0
2020-05-19,aromantic,5,2,1,5,1
2020-05-18,aromantic,3,0,0,3,0
2020-05-17,aromantic,4,1,0,4,0
2020-05-16,aromantic,5,3,0,5,0
2020-05-15,aromantic,3,0,0,3,1
2020-05-14,aromantic,6,4,1,6,1
2020-05-13,aromantic,6,3,2,6,2
2020-05-12,aromantic,2,1,0,2,0
2020-05-11,aromantic,3,1,0,3,0
2020-05-10,aromantic,5,3,3,5,0
2020-05-09,aromantic,6,1,1,6,2
2020-05-08,aromantic,2,2,1,2,0
2020-05-07,aromantic,3,1,1,3,1
2020-05-06,aromantic,2,0,0,2,1
2020-05-05,aromantic,3,3,0,3,1
2020-05-04,aromantic,11,6,2,11,2
2020-05-03,aromantic,6,3,0,6,0
2020-05-02,aromantic,8,6,2,8,1
2020-05-01,aromantic,2,1,0,2,0
2020-04-30,aromantic,4,2,1,4,0
2020-04-29,aromantic,4,2,0,4,1
2020-04-28,aromantic,1,1,0,1,0
2020-04-27,aromantic,3,2,1,3,0
2020-04-26,aromantic,1,1,1,1,1
2020-04-25,aromantic,2,0,0,2,0
2020-04-24,aromantic,5,4,1,5,1
2020-04-23,aromantic,2,1,1,2,1
2020-04-22,aromantic,8,4,0,8,1
2020-04-21,aromantic,2,0,1,2,0
2020-04-20,aromantic,3,2,0,3,0
2020-04-19,aromantic,4,1,0,4,0
2020-04-18,aromantic,2,2,0,2,0
2020-04-17,aromantic,4,2,0,4,0
2020-04-16,aromantic,4,2,1,4,0
2020-04-15,aromantic,6,0,0,6,1
2020-04-14,aromantic,4,1,2,4,0
2020-04-13,aromantic,5,1,3,5,3
2020-04-12,aromantic,5,3,2,5,1
2020-04-11,aromantic,7,3,1,7,0
2020-04-10,aromantic,3,1,1,3,0
2020-04-09,aromantic,4,1,0,4,1
2020-04-08,aromantic,1,1,0,1,0
2020-04-07,aromantic,3,2,0,3,0
2020-04-06,aromantic,2,1,0,2,0
2020-04-05,aromantic,5,1,1,5,0
2020-04-04,aromantic,7,6,0,7,1
2020-04-03,aromantic,4,1,0,4,1
2020-04-02,aromantic,3,3,1,3,2
2020-04-01,aromantic,2,0,0,2,0
2020-03-31,aromantic,4,3,1,4,0
2020-03-30,aromantic,5,4,0,5,0
2020-03-29,aromantic,7,2,2,7,3
2020-03-28,aromantic,9,6,0,9,2
2020-03-27,aromantic,1,0,0,1,0
2020-03-26,aromantic,8,3,0,8,0
2020-03-25,aromantic,2,0,0,2,0
2020-03-24,aromantic,4,2,0,4,1
2020-03-23,aromantic,4,4,1,4,1
2020-03-22,aromantic,5,5,0,5,0
2020-03-21,aromantic,3,2,0,3,0
2020-03-20,aromantic,1,1,0,1,0
2020-03-19,aromantic,3,2,0,3,2
2020-03-18,aromantic,5,1,0,5,0
2020-03-17,aromantic,4,2,0,4,0
2020-03-16,aromantic,3,1,0,3,0
2020-03-15,aromantic,8,3,3,8,0
2020-03-14,aromantic,5,1,2,5,0
2020-03-13,aromantic,6,4,0,6,0
2020-03-12,aromantic,1,1,0,1,0
2020-03-10,aromantic,2,2,0,2,0
2020-03-09,aromantic,1,0,0,1,0
2020-03-08,aromantic,6,2,0,6,0
2020-03-07,aromantic,2,1,0,2,0
2020-03-06,aromantic,4,1,0,4,1
2020-03-05,aromantic,2,0,0,2,0
2020-03-04,aromantic,4,1,0,4,0
2020-03-03,aromantic,4,3,0,4,0
2020-03-02,aromantic,3,2,0,3,0
2020-03-01,aromantic,8,4,0,8,0
2020-02-29,aromantic,4,1,1,4,0
2020-02-28,aromantic,7,6,3,7,2
2020-02-27,aromantic,2,2,0,2,0
2020-02-26,aromantic,3,2,1,3,1
2020-02-25,aromantic,4,1,0,4,0
2020-02-24,aromantic,1,1,0,1,0
2020-02-23,aromantic,7,4,0,7,0
2020-02-22,aromantic,15,9,3,15,2
2020-02-21,aromantic,17,4,0,17,0
2020-02-20,aromantic,7,3,0,7,1
2020-02-19,aromantic,6,0,3,6,0
2020-02-18,aromantic,14,6,0,14,1
2020-02-17,aromantic,22,8,5,22,5
2020-02-16,aromantic,12,5,5,12,3
2020-02-15,aromantic,11,8,1,11,3
2020-02-14,aromantic,6,3,1,6,1
2020-02-13,aromantic,6,0,0,6,0
2020-02-12,aromantic,3,1,1,3,0
2020-02-11,aromantic,7,0,3,7,0
2020-02-10,aromantic,1,1,1,1,0
2020-02-09,aromantic,5,3,1,5,1
2020-02-08,aromantic,2,1,0,2,0
2020-02-07,aromantic,4,1,1,4,0
2020-02-06,aromantic,3,2,0,3,0
2020-02-05,aromantic,4,1,0,4,0
2020-02-04,aromantic,8,3,2,8,2
2020-02-03,aromantic,3,3,0,3,0
2020-02-01,aromantic,12,4,2,12,0
2020-01-31,aromantic,2,0,0,2,0
2020-01-30,aromantic,1,0,0,1,0
2020-01-28,aromantic,2,2,0,2,1
2020-01-27,aromantic,3,0,0,3,0
2020-01-26,aromantic,7,6,3,7,0
2020-01-25,aromantic,4,2,1,4,0
2020-01-24,aromantic,5,2,0,5,0
2020-01-23,aromantic,1,0,1,1,1
2020-01-21,aromantic,3,2,0,3,0
2020-01-20,aromantic,3,0,0,3,0
2020-01-18,aromantic,5,5,0,5,0
2020-01-17,aromantic,1,0,0,1,0
2020-01-15,aromantic,6,4,0,6,0
2020-01-14,aromantic,1,1,0,1,0
2020-01-13,aromantic,1,0,0,1,0
2020-01-12,aromantic,3,1,2,3,0
2020-01-11,aromantic,2,0,0,2,0
2020-01-10,aromantic,2,1,0,2,0
2020-01-09,aromantic,6,2,0,6,0
2020-01-08,aromantic,3,3,0,3,0
2020-01-07,aromantic,5,2,2,5,3
2020-01-06,aromantic,4,1,0,4,0
2020-01-05,aromantic,2,1,0,2,0
2020-01-04,aromantic,5,4,0,5,0
2020-01-03,aromantic,2,1,1,2,0
2020-01-02,aromantic,3,1,0,3,0
2020-01-01,aromantic,5,3,0,5,0
2019-12-31,aromantic,5,3,0,5,1
2019-12-29,aromantic,1,0,0,1,0
2019-12-28,aromantic,1,1,0,1,0
2019-12-27,aromantic,1,1,0,1,0
2019-12-26,aromantic,2,0,2,2,0
2019-12-25,aromantic,2,2,0,2,0
2019-12-24,aromantic,4,0,0,4,0
2019-12-23,aromantic,5,3,0,5,0
2019-12-22,aromantic,1,1,1,1,1
2019-12-21,aromantic,1,1,0,1,0
2019-12-20,aromantic,5,3,0,5,0
2019-12-19,aromantic,4,3,0,4,0
2019-12-18,aromantic,2,0,0,2,0
2019-12-17,aromantic,1,0,0,1,0
2019-12-16,aromantic,3,1,0,3,0
2019-12-15,aromantic,4,1,0,4,0
2019-12-14,aromantic,2,1,1,2,0
2019-12-13,aromantic,1,1,0,1,0
2019-12-12,aromantic,1,0,0,1,0
2019-12-11,aromantic,4,4,0,4,0
2019-12-10,aromantic,5,3,0,5,0
2019-12-09,aromantic,4,2,0,4,2
2019-12-08,aromantic,2,1,1,2,0
2019-12-07,aromantic,2,0,0,2,0
2019-12-05,aromantic,3,1,0,3,0
2019-12-04,aromantic,2,2,0,2,0
2019-12-03,aromantic,1,1,0,1,0
2019-12-02,aromantic,2,1,1,2,0
2019-11-30,aromantic,3,1,0,3,0
2019-11-29,aromantic,4,1,0,4,0
2019-11-27,aromantic,1,1,0,1,1
2019-11-26,aromantic,1,0,0,1,1
2019-11-25,aromantic,3,2,0,3,0
2019-11-24,aromantic,2,0,0,2,0
2019-11-23,aromantic,5,1,0,5,0
2019-11-22,aromantic,1,1,0,1,0
2019-11-21,aromantic,3,2,0,3,0
2019-11-20,aromantic,1,0,0,1,0
2019-11-19,aromantic,1,0,1,1,0
2019-11-18,aromantic,1,0,0,1,0
2019-11-17,aromantic,3,2,0,3,0
2019-11-16,aromantic,3,3,0,3,0
2019-11-15,aromantic,2,1,1,2,1
2019-11-14,aromantic,1,1,0,1,0
2019-11-13,aromantic,1,0,0,1,0
2019-11-11,aromantic,4,2,0,4,0
2019-11-09,aromantic,1,1,0,1,0
2019-11-08,aromantic,1,0,0,1,0
2019-11-07,aromantic,6,0,3,6,0
2019-11-04,aromantic,1,0,0,1,0
2019-11-03,aromantic,4,1,1,4,0
2019-11-02,aromantic,1,1,0,1,0
2019-11-01,aromantic,4,3,3,4,0
2019-10-31,aromantic,2,2,1,2,0
2019-10-29,aromantic,2,0,0,2,2
2019-10-28,aromantic,1,1,0,1,0
2019-10-26,aromantic,9,3,3,9,0
2019-10-25,aromantic,8,5,0,8,0
2019-10-24,aromantic,1,1,1,1,0
2019-10-23,aromantic,1,1,1,1,0
2019-10-22,aromantic,7,3,2,7,0
2019-10-21,aromantic,1,1,1,1,0
2019-10-20,aromantic,8,2,1,8,0
2019-10-16,aromantic,1,0,0,1,0
2019-10-15,aromantic,2,0,0,2,0
2019-10-13,aromantic,2,0,0,2,0
2019-10-12,aromantic,2,1,1,2,0
2019-10-11,aromantic,1,0,0,1,0
2019-10-09,aromantic,2,2,2,2,0
2019-10-08,aromantic,2,0,2,2,1
2019-10-07,aromantic,4,0,0,4,0
2019-10-06,aromantic,4,1,0,4,0
2019-10-05,aromantic,3,2,3,3,1
2019-10-04,aromantic,2,0,0,2,0
2019-10-03,aromantic,4,0,2,4,0
2019-10-02,aromantic,1,1,0,1,0
