date,tag,count
2016-05-04,slow burn,31
2016-05-03,slow burn,30
2016-05-02,slow burn,32
2016-05-01,slow burn,26
2016-04-30,slow burn,23
2016-04-29,slow burn,24
2016-04-28,slow burn,15
2016-04-27,slow burn,30
2016-04-26,slow burn,22
2016-04-25,slow burn,32
2016-04-24,slow burn,30
2016-04-23,slow burn,29
2016-04-22,slow burn,21
2016-04-21,slow burn,27
2016-04-20,slow burn,34
2016-04-19,slow burn,30
2016-04-18,slow burn,38
2016-04-17,slow burn,20
2016-04-16,slow burn,30
2016-04-15,slow burn,30
2016-04-14,slow burn,27
2016-04-13,slow burn,35
2016-04-12,slow burn,33
2016-04-11,slow burn,40
2016-04-10,slow burn,40
2016-04-09,slow burn,25
2016-04-08,slow burn,21
2016-04-07,slow burn,34
2016-04-06,slow burn,24
2016-04-05,slow burn,38
2016-04-04,slow burn,34
2016-04-03,slow burn,30
2016-04-02,slow burn,35
2016-04-01,slow burn,23
2016-03-31,slow burn,41
2016-03-30,slow burn,30
2016-03-29,slow burn,31
2016-03-28,slow burn,37
2016-03-27,slow burn,39
2016-03-26,slow burn,38
2016-03-25,slow burn,33
2016-03-24,slow burn,32
2016-03-23,slow burn,27
2016-03-22,slow burn,29
2016-03-21,slow burn,35
2016-03-20,slow burn,26
2016-03-19,slow burn,25
2016-03-18,slow burn,35
2016-03-17,slow burn,26
2016-03-16,slow burn,32
2016-03-15,slow burn,30
2016-03-14,slow burn,28
2016-03-13,slow burn,29
2016-03-12,slow burn,25
2016-03-11,slow burn,25
2016-03-10,slow burn,25
2016-03-09,slow burn,29
2016-03-08,slow burn,28
2016-03-07,slow burn,29
2016-03-06,slow burn,28
2016-03-05,slow burn,23
2016-03-04,slow burn,29
2016-03-03,slow burn,18
2016-03-02,slow burn,24
2016-03-01,slow burn,29
2016-02-29,slow burn,20
2016-02-28,slow burn,26
2016-02-27,slow burn,29
2016-02-26,slow burn,16
2016-02-25,slow burn,26
2016-02-24,slow burn,31
2016-02-23,slow burn,36
2016-02-22,slow burn,34
2016-02-21,slow burn,38
2016-02-20,slow burn,29
2016-02-19,slow burn,31
2016-02-18,slow burn,24
2016-02-17,slow burn,34
2016-02-16,slow burn,29
2016-02-15,slow burn,26
2016-02-14,slow burn,34
2016-02-13,slow burn,30
2016-02-12,slow burn,26
2016-02-11,slow burn,21
2016-02-10,slow burn,27
2016-02-09,slow burn,27
2016-02-08,slow burn,22
2016-02-07,slow burn,39
2016-02-06,slow burn,29
2016-02-05,slow burn,11
2016-02-04,slow burn,26
2016-02-03,slow burn,25
2016-02-02,slow burn,19
2016-02-01,slow burn,24
2016-01-31,slow burn,29
2016-01-30,slow burn,26
2016-01-29,slow burn,28
2016-01-28,slow burn,20
2016-01-27,slow burn,25
2016-01-26,slow burn,21
2016-01-25,slow burn,35
2016-01-24,slow burn,32
2016-01-23,slow burn,31
2016-01-22,slow burn,28
2016-01-21,slow burn,25
2016-01-20,slow burn,19
2016-01-19,slow burn,20
2016-01-18,slow burn,34
2016-01-17,slow burn,37
2016-01-16,slow burn,25
2016-01-15,slow burn,26
2016-01-14,slow burn,16
2016-01-13,slow burn,21
2016-01-12,slow burn,22
2016-01-11,slow burn,29
2016-01-10,slow burn,35
2016-01-09,slow burn,22
2016-01-08,slow burn,22
2016-01-07,slow burn,21
2016-01-06,slow burn,19
2016-01-05,slow burn,23
2016-01-04,slow burn,23
2016-01-03,slow burn,30
2016-01-02,slow burn,32
2016-01-01,slow burn,21
2015-12-31,slow burn,20
2015-12-30,slow burn,26
2015-12-29,slow burn,23
2015-12-28,slow burn,25
2015-12-27,slow burn,19
2015-12-26,slow burn,27
2015-12-25,slow burn,21
2015-12-24,slow burn,17
2015-12-23,slow burn,24
2015-12-22,slow burn,22
2015-12-21,slow burn,22
2015-12-20,slow burn,28
2015-12-19,slow burn,21
2015-12-18,slow burn,18
2015-12-17,slow burn,15
2015-12-16,slow burn,16
2015-12-15,slow burn,19
2015-12-14,slow burn,18
2015-12-13,slow burn,13
2015-12-12,slow burn,20
2015-12-11,slow burn,18
2015-12-10,slow burn,16
2015-12-09,slow burn,17
2015-12-08,slow burn,18
2015-12-07,slow burn,17
2015-12-06,slow burn,14
2015-12-05,slow burn,15
2015-12-04,slow burn,20
2015-12-03,slow burn,8
2015-12-02,slow burn,14
2015-12-01,slow burn,20
2015-11-30,slow burn,21
2015-11-29,slow burn,21
2015-11-28,slow burn,17
2015-11-27,slow burn,15
2015-11-26,slow burn,11
2015-11-25,slow burn,11
2015-11-24,slow burn,16
2015-11-23,slow burn,18
2015-11-22,slow burn,19
2015-11-21,slow burn,11
2015-11-20,slow burn,17
2015-11-19,slow burn,14
2015-11-18,slow burn,10
2015-11-17,slow burn,15
2015-11-16,slow burn,22
2015-11-15,slow burn,20
2015-11-14,slow burn,8
2015-11-13,slow burn,17
2015-11-12,slow burn,11
2015-11-11,slow burn,14
2015-11-10,slow burn,14
2015-11-09,slow burn,13
2015-11-08,slow burn,16
2015-11-07,slow burn,6
2015-11-06,slow burn,21
2015-11-05,slow burn,19
2015-11-04,slow burn,19
2015-11-03,slow burn,12
2015-11-02,slow burn,16
2015-11-01,slow burn,17
2015-10-31,slow burn,18
2015-10-30,slow burn,15
2015-10-29,slow burn,14
2015-10-28,slow burn,12
2015-10-27,slow burn,18
2015-10-26,slow burn,12
